"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","modlogFC"
"ILMN_1665331","AMT",0.982168771437807,5.64993823529412,-0.268805464572267,0.789486616314336,0.999946195569227,-5.78472859981205,0
"ILMN_1709635","SLC38A11",0.993872614394204,4.81414117647059,-0.268558477034394,0.78967532430912,0.999946195569227,-5.78479063585975,0
"ILMN_2218450","LSM1",1.01152611807097,8.07989705882353,0.268545906040894,0.78968492937524,0.999946195569227,-5.7847937918067,0
"ILMN_1716093","KRT10",0.983295634440787,6.69469705882353,-0.268469225859076,0.789743518797821,0.999946195569227,-5.7848130391743,0
"ILMN_1786872","SELENOH",0.994110313314403,4.87414411764706,-0.268441078826901,0.789765025555862,0.999946195569227,-5.78482010294137,0
"ILMN_2377669","CD247",0.982650789984228,4.80256176470588,-0.268731714325031,0.789813448694325,0.999946195569227,-5.78459165223566,0
"ILMN_1790962","RINL",1.01401269493955,5.41082352941176,0.268338238665363,0.789843605715096,0.999946195569227,-5.78484590539266,0
"ILMN_2089329","SPRY2",1.07170235906282,6.22505294117647,0.268722745725529,0.78984921250475,0.999946195569227,-5.78457728188629,0
"ILMN_2213136","LEF1",1.01100140347805,4.66303529411765,0.268525551772651,0.789929706258759,0.999946195569227,-5.78466723777681,0
"ILMN_1743226","OR52I1",0.996069184658944,4.66806470588235,-0.2681895348408,0.789957234220662,0.999946195569227,-5.78488319755785,0
"ILMN_2103024","RBP5",1.00473994726494,4.84925588235294,0.268159554244803,0.789980143744968,0.999946195569227,-5.78489071364206,0
"ILMN_1654759","CLDN22",1.00470413136643,4.69039705882353,0.268157568450602,0.789981661186453,0.999946195569227,-5.78489121144772,0
"ILMN_1803772","POLD4",0.986122357382352,5.99716176470588,-0.268016634111524,0.790089358049891,0.999946195569227,-5.7849265319709,0
"ILMN_1678669","RRM2",0.97085988144225,5.08730294117647,-0.268244151968514,0.79019581843418,0.999946195569227,-5.7847086192591,0
"ILMN_2042595","PCM1",1.01685471868914,7.02105588235294,0.267724714125966,0.790312445860906,0.999946195569227,-5.7849996332164,0
"ILMN_1676679","KIF25",1.00460713638586,4.63967941176471,0.267586845817819,0.790417812236124,0.999946195569227,-5.78503412997029,0
