"","GeneID","logFC","AveExpr","t","P.Value","adj.P.Val","B","modlogFC"
"ILMN_1755383","LRRC1",1.71123064669517,4.86909746725,3.68419496124001,0.000777193712434796,0.0280750442249854,-1.75594771245544,1.71123064669517
"ILMN_1699737","TRAP1",0.793858777920654,6.78782269497222,-3.68284270952208,0.000780156101702404,0.0281612117096024,-1.75961919174295,0.793858777920654
"ILMN_1766185","AXIN1",1.15289598987711,9.42408800680556,3.67727913749422,0.000792459686452248,0.0285717869843103,-1.77471858035205,1.15289598987711
"ILMN_1653266","DNAJB14",1.27541461374234,9.19868190247222,3.67703254579052,0.000793009337363886,0.0285717869843103,-1.77538759305588,1.27541461374234
"ILMN_1694539","MAP3K6",1.26311613789005,6.72883095538889,3.67690816948101,0.000793286711139489,0.0285717869843103,-1.77572502329112,1.26311613789005
"ILMN_2310968","RUFY1",1.37436017985946,7.82843413538889,3.67517786153442,0.000797155255506076,0.0286899468543238,-1.78041879360661,1.37436017985946
"ILMN_1691293","RNF185",0.709368580688603,5.58741980955556,-3.67468576988705,0.00079825878269065,0.0287084917993012,-1.78175350385746,0.709368580688603
"ILMN_1763455","VSTM1",1.52033987731026,7.110909329,3.67389991931215,0.000800024137978881,0.0287507938186917,-1.78388482026861,1.52033987731026
"ILMN_1756071","MFGE8",0.633449908879593,7.94204313647222,-3.67330898799928,0.000801354110007762,0.0287671164875414,-1.78548736195353,0.633449908879593
"ILMN_1808059","BCAS4",1.47275948447142,7.13911114441667,3.67315670315081,0.0008016971946006,0.0287671164875414,-1.78590032366772,1.47275948447142
"ILMN_2125017","TIGIT",1.51071895585423,4.86690187475,3.67286322666641,0.000802358772763225,0.0287671164875414,-1.78669614368981,1.51071895585423
"ILMN_1814165","SSBP3",0.600570774164284,7.68883587291667,-3.67265160701054,0.000802836150565159,0.0287671164875414,-1.78726997531265,0.600570774164284
"ILMN_1651987","CCDC167",0.801648221593818,7.70340735980556,-3.6713737561001,0.000805724610899411,0.0288494337386089,-1.79073471071333,0.801648221593818
